policy,source,duplicate_entity_recall,singleton_entity_precision,false_merge_rate,overall_entity_decision_acc,edges,delta_vs_guardrail_smallblock2__duplicate_entity_recall,delta_vs_guardrail_smallblock2__singleton_entity_precision,delta_vs_guardrail_smallblock2__false_merge_rate,delta_vs_guardrail_smallblock2__overall_entity_decision_acc
baseline,manual,0.3810699588477366,0.8807870370370371,0.5105708245243129,0.8060785037529223,946,-0.03868312757201642,-0.03631365740740733,0.11198591886393561,-0.03666789713301344
guardrail,manual,0.411522633744856,0.9175347222222222,0.4011976047904191,0.841885074443214,835,-0.008230452674897026,0.0004340277777777901,0.0026126991300418068,-0.0008613264427217437
guardrail_smallblock2,manual,0.419753086419753,0.9171006944444444,0.3985849056603773,0.8427464008859358,848,0.0,0.0,0.0,0.0
previous_tree_balanced,tree_guardrail_smallblock2_depth6_leaf200_basic_features,0.4477366255144033,0.9205729166666666,0.38111490329920367,0.8498831069275254,879,0.02798353909465029,0.00347222222222221,-0.01747000236117363,0.007136706041589669
previous_tree_conservative,tree_guardrail_smallblock2_depth3_leaf50_basic_features,0.3596707818930041,0.9555844907407407,0.334855403348554,0.8664944013781211,657,-0.0600823045267489,0.03848379629629628,-0.06372950231182328,0.023748000492185284
extended_tree_best_overall,tree_guardrail_smallblock2_depth6_leaf50,0.4477366255144033,0.8952546296296297,0.443193449334698,0.8283499446290143,977,0.02798353909465029,-0.02184606481481477,0.04460854367432071,-0.01439645625692143
extended_tree_high_recall,tree_guardrail_smallblock2_depth6_leaf200,0.4559670781893004,0.8794849537037037,0.4723809523809524,0.8161683277962348,1050,0.03621399176954737,-0.0376157407407407,0.0737960467205751,-0.02657807308970095
extended_tree_conservative,tree_guardrail_depth2_leaf50,0.2189300411522634,0.9250578703703703,0.571658615136876,0.8194905869324474,621,-0.20082304526748962,0.00795717592592593,0.1730737094764987,-0.023255813953488413
