policy,source,duplicate_entity_recall,singleton_entity_precision,false_merge_rate,overall_entity_decision_acc,edges,delta_vs_baseline__duplicate_entity_recall,delta_vs_guardrail_smallblock2__duplicate_entity_recall,delta_vs_baseline__singleton_entity_precision,delta_vs_guardrail_smallblock2__singleton_entity_precision,delta_vs_baseline__false_merge_rate,delta_vs_guardrail_smallblock2__false_merge_rate,delta_vs_baseline__overall_entity_decision_acc,delta_vs_guardrail_smallblock2__overall_entity_decision_acc
baseline,manual,0.3810699588477366,0.8807870370370371,0.5105708245243129,0.8060785037529223,946,0.0,-0.03868312757201642,0.0,-0.03631365740740733,0.0,0.11198591886393561,0.0,-0.03666789713301344
guardrail,manual,0.411522633744856,0.9175347222222222,0.4011976047904191,0.841885074443214,835,0.03045267489711939,-0.008230452674897026,0.03674768518518512,0.0004340277777777901,-0.1093732197338938,0.0026126991300418068,0.035806570690291695,-0.0008613264427217437
guardrail_smallblock2,manual,0.419753086419753,0.9171006944444444,0.3985849056603773,0.8427464008859358,848,0.03868312757201642,0.0,0.03631365740740733,0.0,-0.11198591886393561,0.0,0.03666789713301344,0.0
tree_conservative,tree_guardrail_smallblock2_depth3_leaf50,0.3596707818930041,0.9555844907407408,0.334855403348554,0.8664944013781223,657,-0.02139917695473248,-0.0600823045267489,0.07479745370370372,0.03848379629629639,-0.1757154211757589,-0.06372950231182328,0.060415897625199944,0.023748000492186505
tree_balanced,tree_guardrail_smallblock2_depth6_leaf200,0.4477366255144033,0.9205729166666666,0.3811149032992036,0.8498831056970592,879,0.06666666666666671,0.02798353909465029,0.03978587962962954,0.00347222222222221,-0.1294559212251093,-0.017470002361173687,0.04380460194413682,0.007136704811123384
tree_high_recall,tree_guardrail_smallblock2_depth6_leaf50,0.4395061728395061,0.9211516203703703,0.3897142857142857,0.849144825889012,875,0.058436213991769514,0.019753086419753096,0.04036458333333326,0.00405092592592593,-0.12085653881002723,-0.008870619946091618,0.04306632213608963,0.006398425003076191
