iter	Passed	Remaining
413	3996	830
414	4006	820
415	4016	810
416	4028	801
417	4044	793
418	4055	784
419	4066	774
420	4075	764
421	4086	755
422	4097	745
423	4108	736
424	4118	726
425	4128	717
426	4137	707
427	4146	697
428	4156	687
429	4165	678
430	4175	668
431	4184	658
432	4193	648
433	4202	639
434	4213	629
435	4223	619
436	4233	610
437	4244	600
438	4254	591
439	4264	581
440	4276	572
441	4285	562
442	4295	552
443	4306	543
444	4315	533
445	4323	523
446	4334	513
447	4345	504
448	4353	494
449	4363	484
450	4373	475
451	4382	465
452	4393	455
453	4402	446
454	4411	436
455	4421	426
456	4430	416
457	4439	407
458	4449	397
459	4459	387
460	4469	378
461	4479	368
462	4489	358
463	4498	349
464	4507	339
465	4517	329
466	4526	319
467	4535	310
468	4544	300
469	4554	290
470	4566	281
471	4576	271
472	4586	261
473	4596	252
474	4605	242
475	4614	232
476	4623	222
477	4634	213
478	4644	203
479	4654	193
480	4663	184
481	4674	174
482	4683	164
483	4692	155
484	4701	145
485	4717	135
486	4730	126
487	4743	116
488	4753	106
489	4762	97
490	4772	87
491	4782	77
492	4791	68
493	4800	58
494	4810	48
495	4819	38
496	4830	29
497	4839	19
498	4849	9
499	4860	0
