iter	Logloss
0	0.5865216098
1	0.515343593
2	0.4546500445
3	0.4057731575
4	0.3585278187
5	0.323898962
6	0.2961962374
7	0.2655253641
8	0.2464217084
9	0.2209226636
10	0.2077835636
11	0.191777041
12	0.182573024
13	0.1689586915
14	0.1575135756
15	0.1482466177
16	0.1399687866
17	0.1337114188
18	0.1260577413
19	0.1214327493
20	0.1172946677
21	0.1133558494
22	0.1102845438
23	0.1053182094
24	0.1026074947
25	0.09948768219
26	0.09735626646
27	0.09535774296
28	0.0937005504
29	0.09229631696
30	0.09082844809
31	0.08965802305
32	0.08740916086
33	0.08640775945
34	0.08535214048
35	0.08430980249
36	0.08268174642
37	0.08197020594
38	0.08099409644
39	0.08024804687
40	0.0795920306
41	0.07902217112
42	0.07860182385
43	0.07790861376
44	0.07743967086
45	0.07555074464
46	0.0749830585
47	0.07411094306
48	0.07365087119
49	0.0731886569
50	0.07249678517
51	0.07207228864
52	0.07167096257
53	0.07136292113
54	0.07076966148
55	0.07037187606
56	0.07001791058
57	0.06962143162
58	0.06910190527
59	0.06876571607
60	0.06849798984
61	0.06812438276
62	0.06767409329
63	0.0673968657
64	0.06716126913
65	0.06688821721
66	0.06585716596
67	0.06553581279
68	0.06512406958
69	0.06476140498
70	0.06452020789
71	0.06429578147
72	0.06410734895
73	0.06379291034
74	0.0630340736
75	0.06261333125
76	0.06245626368
77	0.06177293434
78	0.06152838322
79	0.06123146037
80	0.0609829802
81	0.06082707025
82	0.06053822436
83	0.06040162912
84	0.0602198607
85	0.06010057146
86	0.05998754085
87	0.05978340299
88	0.05959600492
89	0.05936479972
90	0.05919828236
91	0.05900008908
92	0.05874067606
93	0.05858295515
94	0.05833846291
95	0.058187174
96	0.05802858682
97	0.05784850634
98	0.05770049306
99	0.05759690624
100	0.05739610644
101	0.05724334936
102	0.05711578431
103	0.05701720824
104	0.0569028908
105	0.05682770953
106	0.05669929573
107	0.05658864355
108	0.05643942399
109	0.05635766516
110	0.05626533408
111	0.05609827298
112	0.055952459
113	0.05585071966
114	0.05573442685
115	0.05565701549
116	0.055488157
117	0.05533196086
118	0.05516008493
119	0.05493727518
120	0.05482751266
121	0.05472369745
122	0.05463629346
123	0.05450531019
124	0.05436130852
125	0.05422002376
126	0.05414447707
127	0.0540570166
128	0.05392339218
129	0.05378381909
130	0.05370799139
131	0.05358041858
132	0.0534756215
133	0.05339689204
134	0.05332012576
135	0.05323021573
136	0.05316102825
137	0.05303356492
138	0.05286464742
139	0.05276460766
140	0.05265919965
141	0.05259352883
142	0.05252700858
143	0.05235606917
144	0.05223716596
145	0.05210983472
146	0.05201065687
147	0.05173744158
148	0.05167858199
149	0.05159690361
150	0.05151113979
151	0.05110152441
152	0.05101620768
153	0.05091735165
154	0.05081439538
155	0.05076500677
156	0.05070472134
157	0.05063326476
158	0.05057681022
159	0.05049331853
160	0.05040013741
161	0.05031029361
162	0.0501888024
163	0.05008812856
164	0.04999326557
165	0.04986337771
166	0.04981010963
167	0.0497570064
168	0.04970186994
169	0.04962700183
170	0.04954399702
171	0.04948568254
172	0.04942228948
173	0.04932920493
174	0.04929224887
175	0.04920702227
176	0.04914051499
177	0.04905789197
178	0.04897742572
179	0.04891093383
180	0.04881424703
181	0.04876053859
182	0.0487127294
183	0.04865944211
184	0.048575368
185	0.04851163691
186	0.04842799762
187	0.04838246995
188	0.04829912848
189	0.04823116347
190	0.04813049455
191	0.04808602905
192	0.04800444601
193	0.0479453376
194	0.04787823697
195	0.04784337336
196	0.0477376883
197	0.04766485777
198	0.04760727867
199	0.04752163021
200	0.04746837106
201	0.04736414318
202	0.04726171856
203	0.04721467089
204	0.04712202032
205	0.04704743882
206	0.04699230574
207	0.04693884747
208	0.04688217178
209	0.04678360529
210	0.0467475254
211	0.04669499651
212	0.04660797165
213	0.04655798629
214	0.04652331512
215	0.04646113619
216	0.04638628013
217	0.04633683923
218	0.04624854273
219	0.04616539968
220	0.04612513582
221	0.04604951601
222	0.04588927654
223	0.04585999565
224	0.04581870093
225	0.04577011597
226	0.04569438925
227	0.04567402125
228	0.04563383374
229	0.04556519594
230	0.0454721666
231	0.04539920527
232	0.04529380908
233	0.04523276621
234	0.04515768862
235	0.04511741872
236	0.04509108072
237	0.04504853546
238	0.04500511309
239	0.04497285293
240	0.04493754472
241	0.04488295413
242	0.04480707449
243	0.04475291608
244	0.04472515815
245	0.0446574374
246	0.04457960905
247	0.0445451587
248	0.04434148286
249	0.04431746155
250	0.04427244022
251	0.04423484412
252	0.04418893769
253	0.04416107308
254	0.04412091042
255	0.04403992502
256	0.04395216653
257	0.04390997899
258	0.04384470432
259	0.04381476303
260	0.04375125749
261	0.043699094
262	0.04364266797
263	0.04360682797
264	0.04351820771
265	0.0434802525
266	0.04341264425
267	0.0433827089
268	0.04331053115
269	0.0431954662
270	0.04313984075
271	0.04309614561
272	0.0430738139
273	0.04302625857
274	0.04299438134
275	0.04295960937
276	0.04292306345
277	0.04285700516
278	0.04280843938
279	0.04274107533
280	0.04271099408
281	0.04267541546
282	0.04264110655
283	0.04258672429
284	0.04251443605
285	0.04247715957
286	0.04245701812
287	0.0424009858
288	0.04237962678
289	0.04230895925
290	0.04227596712
291	0.04224424743
292	0.04219291596
293	0.0421629506
294	0.04212360567
295	0.04209660362
296	0.04201848311
297	0.04196043739
298	0.04191471583
299	0.04185484647
300	0.04179223208
301	0.04177274934
302	0.04175968089
303	0.04170449218
304	0.04167622005
305	0.04163629012
306	0.04148583611
307	0.04143684899
308	0.04141423878
309	0.04137459881
310	0.0413188114
311	0.04127721554
312	0.04124298614
313	0.04117836676
314	0.04115260089
315	0.04112509351
316	0.04108872118
317	0.04107851368
318	0.04101803543
319	0.04098420079
320	0.04089252267
321	0.04083791227
322	0.04081446666
323	0.04077713116
324	0.04073644122
325	0.04071633359
326	0.04069491796
327	0.04062849858
328	0.04059902393
329	0.04054263755
330	0.04050857583
331	0.04044915537
332	0.04039310037
333	0.04036074028
334	0.04031847592
335	0.04026097918
336	0.04022554536
337	0.04017937278
338	0.04014715583
339	0.04011912559
340	0.04007563535
341	0.04004702636
342	0.0399992782
343	0.03994433634
344	0.03992983978
345	0.03986002703
346	0.03982767959
347	0.03977711371
348	0.03972651531
349	0.03969917904
350	0.039668592
351	0.03964789665
352	0.03959835962
353	0.03954382317
354	0.03950835855
355	0.039453925
356	0.03934565928
357	0.03929298449
358	0.03927015597
359	0.03924848399
360	0.03920838635
361	0.0391619049
362	0.03914575048
363	0.03911420369
364	0.03907874515
365	0.03902498001
366	0.0389990262
367	0.03893264354
368	0.03888598363
369	0.03884227904
370	0.03881716043
371	0.03879453353
372	0.03867041078
373	0.03862619256
374	0.03860193278
375	0.03857469504
376	0.03852822332
377	0.03851687331
378	0.03846377555
379	0.03842588488
380	0.03840445245
381	0.03837177492
382	0.03832916821
383	0.0382996997
384	0.03826230907
385	0.03824356096
386	0.03822413596
387	0.03817213969
388	0.03815080673
389	0.03812231654
390	0.03807283531
391	0.03804531636
392	0.0380023217
393	0.03796918725
394	0.03792332939
395	0.03789203888
396	0.03785141532
397	0.03784095379
398	0.03781862875
399	0.03780894945
400	0.03779091697
401	0.03776073746
402	0.03771214377
403	0.0376698467
404	0.03765409901
405	0.03762683292
406	0.03758315836
407	0.03754721788
408	0.03751672364
409	0.03746953515
410	0.03741230673
411	0.03740098889
412	0.03737044633
413	0.03733054821
414	0.03724083048
415	0.03723418124
416	0.03719040076
417	0.03717495005
418	0.03715829313
419	0.0371394266
420	0.03711526331
421	0.03709430565
422	0.0370588731
423	0.0370296067
424	0.03700786448
425	0.03696202021
426	0.03693150365
427	0.03691102319
428	0.03685885742
429	0.03681842295
430	0.03678959758
431	0.03675226926
432	0.03674083728
433	0.03671642962
434	0.03667306758
435	0.03663498027
436	0.03660261665
437	0.03657243593
438	0.03653014968
439	0.03650497414
440	0.03646784704
441	0.0364559583
442	0.0364341803
443	0.03639851448
444	0.0363792971
445	0.0363653171
446	0.03634076015
447	0.03631014994
448	0.03629567729
449	0.03626746612
450	0.0362260942
451	0.03619450188
452	0.03613472252
453	0.03609202846
454	0.03607821415
455	0.03605818605
456	0.03603231608
457	0.03599724019
458	0.03595933001
459	0.03592564467
460	0.03589182404
461	0.0358558827
462	0.03580444258
463	0.03576702648
464	0.03573431324
465	0.03569888937
466	0.03567505938
467	0.03564289661
468	0.03562183384
469	0.03559484169
470	0.03550391326
471	0.03546926267
472	0.03544740582
473	0.03543931398
474	0.03542686448
475	0.0354186562
476	0.03538723479
477	0.03535335164
478	0.03532911722
479	0.03531780582
480	0.03530862278
481	0.03527914345
482	0.03525328328
483	0.03524018739
484	0.03521782173
485	0.03516840363
486	0.03514810224
487	0.03513500502
488	0.03511632618
489	0.03508115885
490	0.03504633924
491	0.03500893866
492	0.03497549987
493	0.03493445314
494	0.03491238551
495	0.0348832122
496	0.03484904584
497	0.03481885681
498	0.03478482419
499	0.03475550678
